,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y
84,-0.0107507407665252,-0.2592774182558059,-0.0343282520771026,-0.2729247957468033,0.0020099878311157,-0.0037404596805572,-0.0020099878311157,0.0037404596805572,0.124873399734497,0.1422749161720276,0.1903774738311767,0.0752134323120117,0.2595823407173157,0.2867575287818908,0.0545638799667358,-0.2305436730384826,0.2774401903152466,0.3104537725448608,0.3952838778495788,0.2594183683395386,0.3133182525634765,0.3227493166923523,0.4255173802375793,0.2256453037261963
87,-0.0158601775765419,-0.2678808867931366,-0.0525746271014213,-0.2745882272720337,0.0119048729538917,-0.0060524642467498,-0.0119048729538917,0.0060524642467498,0.1608611717820167,0.0632605850696563,0.1279235854744911,0.1574340760707855,0.3176074400544166,0.1960583627223968,-0.0171393901109695,-0.1111944317817688,0.3512002602219581,0.1973782479763031,0.2640877738595009,0.4109017550945282,0.3735831156373024,0.2372892200946808,0.2754884734749794,0.4048274457454681
3,-0.1586296707391739,-0.2526138722896576,-0.0415634363889694,-0.2787641137838363,-0.0409250408411026,0.0397203564643859,0.0409250408411026,-0.0397203564643859,0.1047509461641311,0.2393749952316284,0.2522289603948593,0.0409432649612426,0.2388335317373275,0.4295756220817566,0.1934882700443267,-0.3795720338821411,0.2606646865606308,0.4667062759399414,0.5163895934820175,0.0935423374176025,0.2123743146657943,0.4346221685409546,0.5764244645833969,0.1299859285354614
66,-0.1670736968517303,-0.2764230370521545,-0.0519860386848449,-0.3183710128068924,-0.0337518453598022,0.035383716225624,0.0337518453598022,-0.035383716225624,0.1286333799362182,0.2003940492868423,0.2547991871833801,0.0059865862131118,0.2691733241081238,0.3748492151498794,0.1023856997489929,-0.4349368512630462,0.2788527011871338,0.4081447869539261,0.4783816337585449,0.1187282353639602,0.3025535345077514,0.3910316973924637,0.525374710559845,0.0911501795053482
85,-0.0846757143735885,-0.2461577653884887,-0.0372201353311538,-0.2620870321989059,-0.0064898878335952,-0.0017405748367309,0.0064898878335952,0.0017405748367309,0.1613829284906387,0.1353867053985595,0.1489530056715011,0.1548182964324951,0.3206894844770431,0.2391795516014099,-0.0206962525844573,-0.2140534520149231,0.3350037783384323,0.2499071359634399,0.2816261500120163,0.3539843559265136,0.3903860300779342,0.2819607257843017,0.362351581454277,0.3201379776000976
27,-0.1366460174322128,-0.2708948403596878,-0.059675395488739,-0.3012021631002426,-0.0274633467197418,0.0149125903844833,0.0274633467197418,-0.0149125903844833,0.0687505006790161,0.2546874731779098,0.2578359842300415,0.0664376467466354,0.2082705497741699,0.3624577969312668,0.1491024494171142,-0.4067243635654449,0.2190271019935608,0.3681617826223373,0.4999429583549499,0.080529436469078,0.2317128181457519,0.4200253933668136,0.5210208892822266,0.1307417005300521
18,-0.2521100640296936,-0.257637083530426,-0.0710722804069519,-0.3293063044548034,-0.0478765368461608,0.0408429503440856,0.0478765368461608,-0.0408429503440856,0.0674834847450256,0.2192301154136657,0.2671692371368408,0.0031013488769531,0.2148914933204651,0.3934196829795837,0.2148562669754028,-0.4842484593391418,0.2545198202133178,0.4330840110778808,0.5299526453018188,0.0534653663635253,0.1569217145442962,0.4132406711578369,0.6072826385498047,0.0762351155281066
54,-0.2347875535488128,-0.2705233842134475,-0.070129781961441,-0.3217723369598388,-0.0401453971862793,0.0357608795166015,0.0401453971862793,-0.0357608795166015,0.1013160645961761,0.2276259660720825,0.2565255463123321,-0.084771454334259,0.2316816747188568,0.4034847617149353,0.1056293845176696,-0.5665152370929718,0.2588384449481964,0.4276045560836792,0.4986677467823028,-0.0216841697692871,0.202359527349472,0.4163882732391357,0.5525216162204742,-0.0787954330444336
55,-0.2343494892120361,-0.2525748014450073,-0.0940159112215042,-0.291808158159256,-0.0334941297769546,0.0377930104732513,0.0334941297769546,-0.0377930104732513,0.1109299808740615,0.2317606508731842,0.2298673540353775,-0.0825770199298858,0.2438237816095352,0.4111468493938446,0.0963720977306366,-0.5776292383670807,0.2668609768152237,0.4407771527767181,0.488098993897438,-0.0582141578197479,0.2317104488611221,0.426839679479599,0.5583131462335587,-0.0785876214504242
82,-0.102627232670784,-0.262652188539505,-0.0883790254592895,-0.2716580927371979,-0.0056947171688079,-0.0029205381870269,0.0056947171688079,0.0029205381870269,0.189114362001419,0.1230219900608062,0.2330706417560577,0.1006887257099151,0.268253356218338,0.3640630543231964,0.1161357164382934,-0.3587560057640075,0.2903608977794647,0.3937095105648041,0.4326391518115997,0.2822847068309784,0.3813138306140899,0.298804372549057,0.4863155782222748,0.2147579491138458
